disease,count
influenza,607
pneumonia,324
severe acute respiratory syndrome,313
hepatitis,231
cancer,166
respiratory disease,108
infectious disease,94
diarrhea,77
avian influenza,74
encephalitis,69
suppression,69
stomatitis,69
severe acute respiratory syndrome.,53
herpes simplex,50
chikungunya,47
asthma,44
gastroenteritis,42
leukemia,42
acute respiratory distress syndrome,39
measles,37
rabies,34
malaria,30
tuberculosis,29
common cold,27
infectious disease.,27
vaccinia virus,26
yellow fever,22
cystic fibrosis,19
microcephaly,18
allergy,17
acute respiratory distress syndrome.,17
lung disease,16
peritonitis,16
smallpox,16
pertussis,15
anemia,15
prostate cancer,15
encephalomyelitis,14
breast cancer,14
chronic obstructive pulmonary disease,14
monkeypox,13
mumps,13
viral disease,13
arthritis,13
hypersensitivity,13
chronic obstructive pulmonary disease.,13
lung cancer,12
lymphocytic choriomeningitis,12
shortness,12
infectious disease,,11
sarcoma,11
respiratory disease.,11
mouth disease,10
pulmonary fibrosis,10
meningitis,10
hepatocellular carcinoma,10
respiratory disease,,10
viral pneumonia,9
mastitis,9
lymphoma,9
respiratory failure,9
thrombocytopenia,9
pulmonary fibrosis.,8
rubella,8
common cold.,7
multiple sclerosis,7
cervical cancer,7
rash,7
colorectal cancer,7
breast cancer.,7
epilepsy,7
cystic fibrosis.,7
cowpox,7
pancreatic cancer,7
colon cancer,7
neurodegeneration,6
dementia,6
pancreatitis,6
diphtheria,6
rheumatoid arthritis,6
acute respiratory distress syndrome,,6
tick-borne encephalitis,6
lupus erythematosus,5
vaccinia virus.,5
common cold,,5
lung carcinoma,5
gastritis,5
viral disease.,5
anthrax,5
rhinitis,5
stuttering,5
dengue fever,5
diabetes mellitus,5
systemic lupus erythematosus,5
dermatitis,5
atopic dermatitis,4
atherosclerosis,4
avian influenza,,4
idiopathic pulmonary fibrosis.,4
bronchiolitis,4
bronchiectasis,4
multiple sclerosis.,4
viral hepatitis,4
stroke,4
neuroblastoma,4
yellow fever,,4
rheumatoid arthritis,,4
colitis,4
myositis,4
autoimmune disease.,4
lung disease,,4
allergic rhinitis,4
hemorrhagic disease,4
candidiasis,4
aspergillosis,4
frontotemporal dementia,3
plague,3
bladder cancer,3
sickle cell anemia,3
autoimmune disease,3
vaccinia virus,,3
typhus,3
allergic asthma,3
pulmonary hypertension,3
amyotrophic lateral sclerosis,3
aids,3
pulmonary edema,3
myocarditis,3
eumycetoma,3
pancytopenia,3
gastrointestinal disease.,3
bacterial pneumonia,3
nephropathy,3
osteosarcoma,3
allergic asthma.,3
liver disease.,3
lassa fever,3
cardiovascular disease,,3
idiopathic pulmonary fibrosis,3
laryngotracheitis,3
kidney failure,3
otitis media,3
colorectal cancer.,3
conjunctivitis,3
rheumatoid arthritis.,3
schizophrenia,3
nephritis,3
pulmonary hypertension,,3
pulmonary edema.,3
obesity,3
multiple myeloma,3
lung disease.,3
severe acute respiratory syndrome,,3
myopathy,3
hepatocellular carcinoma.,2
bladder disease,,2
toxoplasmosis,2
vein disease,2
herpes simplex;,2
cerebral malaria.,2
western equine encephalitis,2
pulmonary fibrosis;,2
respiratory failure,,2
pulmonary fibrosis,,2
myeloid leukemia,2
chronic kidney disease,2
allergic rhinitis.,2
herpes simplex,,2
liver cancer.,2
myeloid leukemia.,2
chronic lymphocytic leukemia,2
acute lymphoblastic leukemia,2
glioma,2
prostate cancer.,2
fatty liver disease.,2
retinoblastoma,2
viral pneumonia.,2
acute lymphoblastic leukemia.,2
acute lymphoblastic leukemia,,2
temporal lobe epilepsy,2
neutropenia,2
scrub typhus,2
idiopathic pulmonary fibrosis;,2
periodontitis,2
allergic bronchopulmonary aspergillosis,2
multiple sclerosis,,2
irritable bowel syndrome,2
renal cell carcinoma,2
pancreatic cancer.,2
pancreatic cancer,,2
acute pancreatitis.,2
chronic myeloid leukemia,2
amyotrophic lateral sclerosis.,2
sarcoidosis,2
psoriasis,2
rift valley fever,2
myelitis,2
poliomyelitis,2
lymphoblastic leukemia,,2
lymphoblastic leukemia.,2
cardiovascular disease,2
lymphoblastic leukemia,2
viral hepatitis,,2
pulmonary hypertension;,2
ulcerative colitis.,2
typhoid fever,2
atrophic gastritis,2
cystic fibrosis,,2
otitis media.,2
seborrheic dermatitis.,2
oral cancer,2
hydatidiform mole,2
leishmaniasis,2
neuropathy,2
mouth disease,,2
leptospirosis,2
heart disease,2
seborrheic dermatitis,,2
lung cancer.,2
parasitic disease,2
chronic myeloid leukemia.,1
head and neck cancer.,1
hepatocellular carcinoma;,1
periodontal disease,1
hepatocellular carcinoma,,1
retinitis,1
testicular germ cell cancer.,1
interstitial lung disease,1
vascular dementia.,1
status epilepticus.,1
cutaneous leishmaniasis.,1
interstitial nephritis,1
familial adenomatous polyposis.,1
scleroderma,1
interstitial emphysema.,1
bipolar disorder.,1
congenital glaucoma,1
chronic kidney disease.,1
pleurisy,1
respiratory failure.,1
chorioretinitis,1
dengue hemorrhagic fever.,1
contagious pustular dermatitis,,1
thyroid cancer,1
hand, foot and mouth disease,,1
siderosis,1
placental insufficiency,1
vasculitis,1
infertility,1
hepatoblastoma,1
dental caries.,1
chickenpox,1
sleeping sickness,1
carcinoma in situ,1
acute myocardial infarction,,1
acute myocardial infarction.,1
glaucoma,1
avian influenza.,1
lymphadenopathy,1
gastrointestinal disease,1
gastrointestinal cancer.,1
cleft lip,1
viral pneumonia,,1
neurological disorder,1
viral disease,,1
colon cancer.,1
colon cancer,,1
acute interstitial pneumonia,1
peanut allergy.,1
fetal alcohol syndrome,,1
hydatidiform mole,,1
psoriatic arthritis,1
endometrial cancer.,1
heart attack,1
nasopharyngeal carcinoma.,1
proteinuria,1
acute myeloid leukemia.,1
bacterial disease.,1
balanoposthitis,1
osteopetrosis,1
follicular lymphoma.,1
glucose intolerance,1
heart disease,,1
macular degeneration.,1
mycosis,1
cerebral amyloid angiopathy.,1
acute leukemia,1
bacterial disease;,1
aplastic anemia,1
acute myocardial infarction,1
heart disease;,1
skin cancer,1
polycythemia,1
neuromuscular disease,,1
infective endocarditis.,1
nephrotic syndrome,1
ornithine transcarbamylase deficiency,1
atopic dermatitis.,1
tetanus,1
adenoma,1
schistosomiasis,1
orchitis,1
herpes zoster,1
onchocerciasis,1
contagious pustular dermatitis,1
mantle cell lymphoma.,1
cardiovascular disease.,1
macular degeneration,1
kidney cancer,1
dengue fever,,1
tularemia,1
peptic ulcer,1
retinopathy,1
breast cancer,,1
eye disease,1
spotted fever,1
saint louis encephalitis,1
cerebellar ataxia,1
astrocytoma,1
malabsorption,1
oral cancer,,1
pancreatic disease.,1
oral cancer.,1
colorectal cancer,,1
bacterial pneumonia,,1
syphilis,1
melioidosis,1
brucellosis,1
acute pancreatitis,1
scrub typhus,,1
visceral leishmaniasis,1
rheumatoid arthritis;,1
ulcerative colitis,,1
pulmonary tuberculosis,1
meningoencephalitis,1
ulcerative colitis,1
ulcerative colitis;,1
liver disease,1
severe combined immunodeficiency,1
interstitial lung disease.,1
amelogenesis imperfecta.,1
typhoid fever.,1
dyspepsia,1
mouth disease.,1
cholangiocarcinoma,1
spinocerebellar ataxia,1
lung carcinoma.,1
chronic lymphocytic leukemia.,1
cardiac arrest,1
hyperglycemia,1
cerebral amyloid angiopathy,1
fibrosarcoma,1
chronic obstructive pulmonary disease,,1
tick-borne encephalitis,,1
cleft palate,1
sudden infant death syndrome;,1
herpes genitalis,1
autism,1
lung cancer,,1
temporal lobe epilepsy.,1
acute promyelocytic leukemia,1
oropharyngeal cancer,1
japanese encephalitis,1
kawasaki disease,1
