disease,count
pneumonia,128
influenza,122
severe acute respiratory syndrome,81
cancer,46
encephalitis,34
acute respiratory distress syndrome,32
hepatitis,31
respiratory disease,29
infectious disease,27
meningitis,24
respiratory failure,23
diarrhea,23
malaria,21
asthma,20
multiple sclerosis,20
herpes simplex,16
lymphoma,15
rhinitis,15
suppression,15
thrombocytopenia,15
arthritis,14
tuberculosis,13
viral pneumonia,13
cardiovascular disease,13
leukemia,13
encephalomyelitis,13
avian influenza,12
bronchiolitis,12
common cold,11
rheumatoid arthritis,11
shortness,11
peritonitis,10
encephalopathy,10
croup,10
myocarditis,10
bacterial meningitis,9
gastroenteritis,9
severe acute respiratory syndrome.,9
rabies,9
diabetes mellitus,9
heart disease,9
colitis,8
severe acute respiratory syndrome,,8
hypersensitivity,8
vaccinia virus,8
measles,8
heart disease,,8
eosinophilia,7
respiratory failure,,7
breast cancer,7
stroke,7
cryptosporidiosis,7
rheumatoid arthritis,,7
chronic obstructive pulmonary disease,7
anemia,7
multiple sclerosis.,7
cystic fibrosis,7
respiratory disease.,7
bronchopneumonia,6
respiratory failure.,6
acute disseminated encephalomyelitis,6
rash,6
lung disease,6
allergy,6
infectious disease.,6
acute respiratory distress syndrome.,6
common cold,,5
vasculitis,5
acute lymphoblastic leukemia,5
leukopenia,5
yellow fever,5
tracheitis,5
neutropenia,5
cardiomyopathy,5
uveitis,5
lymphoblastic leukemia,5
chikungunya,5
acute respiratory distress syndrome,,5
schizophrenia,5
respiratory disease,,5
nephritis,5
plague,4
bladder cancer,4
atherosclerosis,4
ovarian cancer,4
dementia,4
bacterial meningitis,,4
congenital heart disease,4
lung cancer,4
colorectal cancer,4
pasteurellosis,4
otitis media,4
leishmaniasis,4
systemic lupus erythematosus,4
cirrhosis,4
neuromyelitis optica,4
prostate cancer,4
lupus erythematosus,4
neurodegeneration,4
autoimmune disease,4
myeloid leukemia,4
chronic kidney disease,4
glomerulonephritis,4
diabetes mellitus,,4
viral pneumonia,,4
mumps,4
bacterial pneumonia,4
viral hepatitis,4
post-traumatic stress disorder,,4
dengue fever,4
bacterial pneumonia.,4
acute respiratory distress syndrome;,4
ulcerative colitis,4
allergic rhinitis,4
cellulitis,4
smallpox,3
common cold.,3
endocarditis,3
urinary tract infection,3
herpes zoster,3
sinusitis,3
acute disseminated encephalomyelitis.,3
hemolytic anemia,3
epilepsy,3
cerebral infarction,,3
vaginitis,3
pneumothorax,3
acute myeloid leukemia,3
colon cancer,3
cutaneous leishmaniasis,3
allergic rhinitis,,3
congenital heart disease,,3
congenital heart disease.,3
viral pneumonia.,3
infectious disease,,3
heart disease.,3
acute myocardial infarction,3
spotted fever,,3
laryngotracheitis,3
dengue fever,,3
meningoencephalitis,3
obesity,3
typhoid fever,,3
neuropathy,3
laryngitis,3
microcephaly,3
metabolic acidosis,,3
hydrocephalus,2
viral meningitis,2
bacterial meningitis.,2
vaccinia virus,,2
hand, foot and mouth disease,2
chronic lymphocytic leukemia,2
prostate cancer,,2
hypogammaglobulinemia,2
lymphocytopenia,2
optic neuritis,2
heart attack,2
autoimmune hemolytic anemia,2
renal cell carcinoma,2
tetanus,2
retinopathy,2
breast cancer,,2
psoriasis,2
post-traumatic stress disorder,2
severe acute respiratory syndrome?,2
systemic lupus erythematosus.,2
lymphoblastic leukemia.,2
pulmonary embolism,2
mastoiditis,2
pulmonary embolism;,2
viral disease,2
acute disseminated encephalomyelitis;,2
pneumonic plague,,2
congestive heart failure,2
paraplegia,2
peripheral neuropathy,2
cardiac arrest,2
chronic obstructive pulmonary disease,,2
toxic shock syndrome,2
chronic obstructive pulmonary disease.,2
mouth disease,2
interstitial lung disease,2
common variable immunodeficiency,2
chorioretinitis,2
allergic rhinitis.,2
osteoarthritis,2
typhus,2
myelodysplastic syndrome,2
tracheal tumor,,2
avian influenza,,2
lymphadenopathy,2
aids,2
acute lymphoblastic leukemia.,2
pulmonary edema,2
psoriatic arthritis,,2
multiple sclerosis,,2
cystitis,2
diphtheria,2
aplastic anemia,2
nephropathy,2
neuroblastoma,2
nephrotic syndrome,2
chronic myeloid leukemia,2
trypanosomiasis,2
cardiovascular disease.,2
yellow fever,,2
familial adenomatous polyposis,2
pulpitis,2
sensorineural hearing loss,2
myelitis,2
poliomyelitis,2
visceral leishmaniasis,2
lupus erythematosus.,2
peripheral neuropathy,,2
lung disease.,2
stomatitis,2
coronary aneurysm,2
vasomotor rhinitis,2
lung cancer.,2
aspergillosis,2
otomycosis,2
kawasaki disease,2
disseminated intravascular coagulation;,1
hemophagocytic lymphohistiocytosis,1
vascular dementia.,1
giardiasis,1
pulmonary fibrosis,,1
amyloidosis,1
vascular dementia,1
ankylosing spondylitis,1
respiratory failure?,1
actinic keratosis,1
protozoal disease,1
major depressive disorder,1
prostate cancer.,1
cerebral palsy,,1
lymphadenitis,1
sleeping sickness,1
acute myocardial infarction,,1
acute myocardial infarction.,1
relapsing fever,1
atrial fibrillation,1
eosinophilic esophagitis.,1
rubella,1
tungiasis,1
corneal edema,1
ankylosing spondylitis,,1
bronchiectasis,1
optic neuritis.,1
irritable bowel syndrome,1
adrenocortical carcinoma;,1
interstitial nephritis.,1
cerebellar ataxia,,1
infectious mononucleosis,,1
liver disease,,1
epidemic typhus,1
adenoma,1
nervous system disease,1
scarlet fever,,1
schistosomiasis,1
cleft palate,,1
sleep apnea,1
hepatocellular carcinoma,1
constipation,1
amyotrophic lateral sclerosis,,1
breast cancer.,1
hemophagocytic lymphohistiocytosis,,1
neoplasm,1
necrotizing sialometaplasia,1
kidney failure,1
nephrotic syndrome.,1
lymphoblastic leukemia,,1
vasomotor rhinitis,,1
obstructive sleep apnea,1
pulmonary embolism.,1
acute disseminated encephalomyelitis,,1
conjunctivitis,1
rheumatoid arthritis.,1
scrub typhus,,1
typhoid fever,1
cystic fibrosis.,1
cystic fibrosis,,1
otitis media,,1
otitis media.,1
chronic obstructive pulmonary disease;,1
ovarian cancer.,1
osteoporosis,1
central nervous system disease,1
exanthem,1
keratitis,1
renal cell carcinoma,,1
gout,1
botulism,1
interstitial cystitis,,1
panic disorder,1
cervicitis,1
pancreatic cancer,1
neurogenic bladder,1
fibrosarcoma,1
tick-borne encephalitis,,1
coronary artery anomaly,1
aseptic meningitis,1
testicular cancer,1
hepatocellular carcinoma,,1
cerebral malaria.,1
ehrlichiosis,1
cerebral infarction,1
duodenitis,1
endometritis,1
bipolar disorder,1
peptic ulcer,,1
metabolic disorder,1
cataract,1
short bowel syndrome,1
priapism,1
status epilepticus,1
glioma,1
cardiac arrest.,1
multiple myeloma;,1
pulmonary hypertension,1
viral pneumonia;,1
multiple myeloma.,1
pulmonary fibrosis,1
bartonellosis,1
relapsing polychondritis.,1
acute lymphoblastic leukemia,,1
viral disease.,1
carbuncle,1
common variable immunodeficiency;,1
proteinuria,1
bladder cancer;,1
tenosynovitis,1
antiphospholipid syndrome,,1
tonsillitis,1
leiomyoma,1
common variable immunodeficiency.,1
infectious mononucleosis,1
intestinal schistosomiasis,1
trichuriasis,1
glucose intolerance,1
hidradenitis suppurativa,1
mood disorder,,1
heart disease;,1
filariasis,1
acute pancreatitis,,1
hemoglobinuria,1
pyelonephritis,1
spotted fever;,1
primary ciliary dyskinesia,,1
chronic rhinitis,1
paroxysmal nocturnal hemoglobinuria,1
cardiovascular disease,,1
shigellosis,1
thalassemia,1
spotted fever.,1
intrinsic asthma,,1
rheumatic fever,,1
hypothyroidism,1
bacterial disease,1
thrombophlebitis,1
malabsorption,1
colorectal cancer.,1
bacterial pneumonia,,1
urinary tract obstruction,1
brucellosis,1
pulmonary edema,,1
ulcerative colitis,,1
nephropathia epidemica,1
lupus erythematosus,,1
pulmonary edema.,1
kidney failure,,1
mood disorder,1
autoimmune disease.,1
acute pyelonephritis,1
severe combined immunodeficiency,1
metabolic acidosis,1
carcinoma in situ;,1
chronic pyelonephritis,,1
intussusception,1
cholecystitis,1
leptospirosis,1
aspiration pneumonia,1
spondylitis,1
osteonecrosis,1
dermatitis,1
cerebral amyloid angiopathy,1
disseminated intravascular coagulation,1
pelvic inflammatory disease,1
lung cancer,,1
pain disorder,1
