virus_topics,count
microbiology,232
bacteriophage,125
viral replication,104
capsid,93
viral load,84
viral protein,41
viral entry,38
viral replication.,32
viral replication,,29
viral envelope,27
viral load,,18
viral load.,17
viral entry,,15
antiviral drug,11
viral disease,11
virus-like particle,9
viral life cycle,9
viral shedding,9
viral life cycle.,8
viral entry.,8
viral life cycle,,4
animal virus,4
viral protein,,4
virus latency,4
virus quantification,4
viral protein.,4
viral envelope.,2
viral load;,2
viral envelope,,2
reassortment,2
antiviral drug,,2
viral disease.,2
virus-like particle.,2
antigenic drift,1
virus latency,,1
viral entry;,1
animal virus.,1
viral shedding.,1
antigenic shift,1
