funders,count
World Health Organization,95
Ministry of Health,44
Centers for Disease Control and Prevention,38
Department of Health,33
Research and Development,23
National Institutes of Health,23
Health Research,23
School of Medicine,21
Royal Society,20
National Institute of Allergy and Infectious Diseases,20
National Natural Science Foundation of China,20
Ministry of Health,,19
World Health Organization,,19
Institut Pasteur,17
Sanofi,17
National Academy of Sciences,16
Wellcome Trust,16
World Health Organization.,15
Medical Research Council,14
United Nations,13
Icahn School of Medicine at Mount Sinai,,13
Ministry of Education,13
Ministério da Saúde.,13
Department of Health,,12
Ministry of Education,,12
Institut Pasteur,,12
Centers for Disease Control and Prevention.,12
School of Medicine,,11
Merck,11
Ministério da Saúde,10
Microsoft,10
University of California,,10
EMBO,10
Orange,10
Roche,9
Fundação Oswaldo Cruz,,8
University of North Carolina,8
Ministry of Health.,8
Food and Drug Administration,8
World Health Organization;,8
Chinese Center for Disease Control and Prevention,,7
National Health and Medical Research Council,7
Centers for Disease Control and Prevention,,7
University of Texas Medical Branch,7
Chinese Academy of Sciences,7
Ministério da Saúde,,7
National Institutes of Health,,6
National Institute for Health Research,6
National Health Research Institutes,,6
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,6
Ministry of Science and Technology,6
University of Texas Medical Branch,,6
University of California,5
UNICEF,5
Ain Shams University,5
Public Health England,5
University of Rochester,5
National Science Foundation,5
Conselho Nacional de Desenvolvimento Científico e Tecnológico,5
Health Research,,5
European Research Council,5
Shandong Province,4
Academy of Medical Sciences,4
Japan Society for the Promotion of Science,4
National Cancer Institute,4
Indian Council of Medical Research,4
Gilead Sciences,4
European Centre for Disease Prevention and Control,4
National Taiwan University,,4
Defense Threat Reduction Agency,4
Chinese Academy of Sciences,,4
University of Florida,,4
National Research Foundation,4
Ministry of Health;,4
National Institute of Allergy and Infectious Diseases.,4
Shandong Province,,4
Chulalongkorn University,4
Home Office,4
University of Michigan,3
University of Tokyo,,3
University of Georgia,,3
Mahidol University,,3
Thermo Scientific,,3
Princeton University,,3
National Cheng Kung University Hospital,,3
Icahn School of Medicine at Mount Sinai,3
Public Health England.,3
Columbia University,,3
Ohio State University,,3
Department for International Development,3
Universidade Federal de Minas Gerais,,3
New York State Department of Health,,3
Fundação Oswaldo Cruz,3
Thermo Scientific,3
Imperial College London,,3
Nationwide,3
National Institute of Allergy and Infectious Diseases,,3
International Development Research Centre,3
Biotechnology and Biological Sciences Research Council,3
Pfizer,3
New York State Department of Health,3
Alere,3
University of Hong Kong,,3
Academy of Medical Sciences,,3
Korea University,3
University of Cambridge,,3
Stanford University,3
Wellcome Trust,,3
Russian Science Foundation,3
U.S. Army,3
Faculty of Medicine, Chulalongkorn University,2
Public Health Agency,2
KU Leuven,,2
Australian Research Council,2
China Pharmaceutical University.,2
Battelle,2
Jackson Laboratory,2
National Institutes of Health.,2
College of Public Health,,2
Office of Education;,2
Pirbright Institute,2
National Center for Health Statistics,2
Emory University,,2
Médecins Sans Frontières,2
National Oceanic and Atmospheric Administration,2
Morris Animal Foundation,2
RMIT University,,2
University of Maryland,2
Jinan University,2
Chinese Center for Disease Control and Prevention,2
University of Ibadan,,2
National Medical Research Council,2
China Agricultural University,2
Chungbuk National University,2
GlaxoSmithKline,2
University of Western Australia,,2
Iowa State University,,2
European Society of Clinical Microbiology and Infectious Diseases.,2
Ministerio de Economía y Competitividad,2
University of Sydney,,2
Boston University,2
Soonchunhyang University,2
Vanderbilt University,2
China Agricultural University.,2
University Grants Committee,2
University of Washington,,2
University of Toronto,,2
United Nations.,2
Universidade de São Paulo,,2
Department of Agriculture, Food and the Marine,2
Faculty of Medicine, Chulalongkorn University,,2
RTI International,,2
European Centre for Disease Prevention and Control,,2
Monash University,,2
KU Leuven,2
Huaqiao University,,2
Institut Pasteur.,2
Statistics Korea.,2
Qatar Foundation,2
Austrian Science Fund,2
Universidad Politécnica de Madrid,,2
U.S. Department of Health and Human Services,2
Bayer,2
Colorado State University,2
Teagasc,2
Agence Nationale de la Recherche,2
Universidade Federal do Pará,2
Hamadan University of Medical Sciences,,2
Ministry of Public Health,2
University of Melbourne,2
European Parliament,2
Hamadan University of Medical Sciences,2
U.S. Food and Drug Administration,2
Tulane University,,2
Faculty of Tropical Medicine, Mahidol University,,2
Environmental Protection Agency,2
World Bank Group,2
Burnet Institute,2
Central Queensland University.,2
University of Chicago,2
National Taiwan University,2
University of Hong Kong,2
Bill and Melinda Gates Foundation,2
Chulalongkorn University,,2
Canadian Institutes of Health Research,,2
Shell,2
Universiti Putra Malaysia.,2
University of Hong Kong.,2
China Postdoctoral Science Foundation,2
National Science and Technology Development Agency,2
Tsinghua University,,2
Vrije Universiteit Brussel,,2
U.S. Army.,2
University of Southampton,,2
Yangzhou University,2
Rice University,,2
Ministry of Public Health;,2
Kyoto University,,2
National Academy of Sciences.,2
Agency for Healthcare Research and Quality,2
Medical Research Council.,2
University of Colorado Boulder,,2
University of Michigan,,2
Kansas State University,,2
Johns Hopkins University,,2
Columbia University,2
Médecins Sans Frontières,,2
Chang Gung University,,2
National Cheng Kung University Hospital,2
National Health Research Institutes,2
University College London,,2
Chinese Academy of Medical Sciences,2
Advanced Research Projects Agency,2
Seventh Framework Programme,2
PATH,1
Florida Fish and Wildlife Conservation Commission,1
Princeton Institute for International and Regional Studies,1
Health and Safety Executive.,1
Nanyang Technological University,,1
Inamori Foundation,,1
Ministry of the Environment,,1
University of Ottawa,,1
Infectious Diseases Society of America,1
University of Minnesota,1
European Society of Clinical Microbiology and Infectious Diseases,1
GE Healthcare,,1
Universidad Politécnica de Madrid,1
Ministry of Economy,1
Amon G. Carter Foundation,,1
School of Medicine.,1
Korea National Institute of Health,1
University of South Carolina,,1
Department of Health.,1
Seoul National University,1
Novartis,1
National Center for Health Statistics,,1
European and Developing Countries Clinical Trials Partnership,1
China Meteorological Administration,1
Fondazione IRCCS Policlinico San Matteo,1
Karolinska Institutet,1
Mahidol University.,1
Yonsei University,1
Wageningen University,1
National Geographic Society,1
Kansas State University,1
Chinese Center for Disease Control and Prevention.,1
National Tsing Hua University,,1
Chinese Academy of Agricultural Sciences,,1
Canada Foundation for Innovation.,1
Fundação Araucária,1
Terveyden Tutkimuksen Toimikunta,1
Fonds Wetenschappelijk Onderzoek,1
Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro,1
Nanjing Normal University,,1
Home Office.,1
Thrasher Research Fund,1
National Center for Immunization and Respiratory Diseases,,1
Gilead Sciences,,1
Gilead Sciences.,1
Hiroshima University,1
Universidade Federal do Piauí,,1
Korea Institute of Science and Technology,1
Division of Environmental Biology,1
U.S. Department of Agriculture,1
New England Biolabs,1
National Brain Research Centre,,1
Hitachi,1
Universiti Putra Malaysia,1
Kansas Bioscience Authority,1
Fudan University,,1
University of Western Australia.,1
Fundação Oswaldo Cruz.,1
Emory University,1
Duke University,1
U.S. Department of Health and Human Services;,1
George Mason University,,1
California Institute of Technology,,1
Astellas Pharma,1
U.S. Public Health Service,1
Imperial College London,1
Royal Swedish Academy of Sciences.,1
Johns Hopkins Bloomberg School of Public Health,,1
National Institute for Health Research,,1
Infectious Diseases Society of America.,1
University of Guelph,,1
China Agricultural University,,1
University of Melbourne,,1
Zoological Society of London,,1
Universität zu Lübeck,,1
Center for Theoretical Biological Physics,1
Health Canada,,1
Met Office,1
Indian Institute of Science,,1
Korea Research Institute of Chemical Technology,,1
National Bureau of Statistics of China.,1
Stanford University,,1
University College Dublin,,1
International Olympic Committee,1
International Society for Infectious Diseases,1
University of Western Australia,1
Health Foundation;,1
