drugs,count
oseltamivir,37
ribavirin,22
nitric oxide,13
azithromycin,10
amantadine,10
doxycycline,9
prednisolone,8
palivizumab,7
cyclosporine,6
streptomycin,6
zanamivir,6
paracetamol,6
ganciclovir,5
chloroquine,5
rituximab,5
tryptophan,5
ketamine,5
tacrolimus,5
tenofovir,4
cidofovir,4
adenosine,4
permethrin,4
peramivir,4
tetracycline,4
dimethyl sulfoxide,4
melatonin,4
ipilimumab,3
pentobarbital,3
phenol,3
diclofenac,3
methylcellulose,3
chlorpromazine,3
nevirapine,3
methamphetamine,3
methadone,3
progesterone,3
methotrexate,3
isoflurane,3
dexamethasone,3
clarithromycin,3
inosine,2
infliximab,2
digitoxin,2
cyclophosphamide,2
amiloride,2
azathioprine,2
carbamazepine,2
penciclovir,2
ketorolac,2
salmeterol,2
dabrafenib,2
estradiol,2
methylprednisolone,2
vidarabine,2
loteprednol,2
dopamine,2
lamivudine,2
valganciclovir,2
digoxin,2
sofosbuvir,2
buprenorphine,2
hydrocortisone,2
metronidazole,2
omalizumab,2
prednisone,2
artemisinin,2
dextran,2
povidone,2
chondroitin sulfate,2
benzalkonium chloride,1
ritonavir,1
doxorubicin,1
efavirenz,1
monensin,1
cetuximab,1
gefitinib,1
kanamycin,1
paromomycin,1
ipratropium bromide,1
clodronate,1
nitric oxide.,1
polysorbate,1
formoterol,1
varenicline,1
budesonide,1
benzalkonium chloride.,1
salicylic acid,,1
zidovudine,1
nystatin,1
entecavir,1
praziquantel,1
menthol,1
nicotinamide,1
lithium,1
minocycline,1
famciclovir,1
sunitinib,1
ampicillin,1
calcitonin,1
carbamide,1
valproate,1
acetaminophen,1
chloramphenicol,1
rimantadine,1
fluticasone,1
ascorbic acid,1
ivermectin,1
golimumab,1
trametinib,1
erythromycin,1
puromycin,1
sinefungin,1
tinidazole,1
vemurafenib,1
didanosine,1
l-glutamine,1
sulfadimidine,1
fluconazole,1
lopinavir,1
