CountryName,Influenza, Measles, Chikungunya, Yellow_fever, Dengue_fever, Malaria, Tuberculosis, Asthma,Herpes_simplex, Gastroenteritis, Viral_pneumonia
Australia,51,17,19,10,9,6,7,7,9,9,2
Brazil,38,11,34,28,21,18,9,2,3,2,3
China,273,38,21,23,20,36,36,18,19,25,36
France,44,13,13,9,7,9,7,5,7,10,5
Germany,38,15,9,8,8,8,6,3,8,6,5
Hong Kong,127,26,11,9,8,11,17,21,7,20,17
India,45,15,12,8,10,13,10,5,4,6,6
Italy ,82,10,10,6,7,15,16,9,7,6,9
Japan,51,10,10,7,9,9,5,3,9,13,11
Saudi Arabia,42,11,5,3,4,11,5,3,5,4,9
Singapore,41,6,11,4,8,3,1,3,3,5,4
South korea,28,5,5,3,2,6,4,0,2,3,4
Spain,33,6,3,2,2,2,5,2,5,4,5
Taiwan,36,4,3,3,4,3,3,4,1,4,5
USA,668,154,96,105,54,133,122,64,62,79,74
