disease,count
influenza,78
severe acute respiratory syndrome,53
pneumonia,42
hepatitis,27
tuberculosis,23
measles,23
infectious disease,11
respiratory disease,10
acute respiratory distress syndrome,9
vaccinia virus,8
cancer,8
common cold,7
malaria,7
rabies,7
shortness,7
suppression,6
peritonitis,6
rheumatoid arthritis,6
multiple sclerosis,6
arthritis,6
herpes simplex,5
rubella,5
diarrhea,5
stroke,5
respiratory failure,5
smallpox,4
encephalitis,4
lung disease,3
pertussis,3
respiratory failure,,3
gastroenteritis,3
hypogammaglobulinemia,3
respiratory disease,,3
stomatitis,3
lymphoma,3
avian influenza,2
nasopharyngitis,2
cardiovascular disease,,2
herpes zoster,2
progressive multifocal leukoencephalopathy,2
respiratory failure.,2
sinusitis,2
pancreatitis,2
yellow fever,,2
common cold,,2
systemic lupus erythematosus,,2
narcolepsy,2
lymphadenopathy,2
autoimmune disease,,2
lupus erythematosus,,2
respiratory disease.,2
multiple myeloma,2
neutropenia,2
typhoid fever,,2
lung disease,,2
yellow fever,2
pancytopenia,2
diabetes mellitus,2
infectious disease,,2
multiple sclerosis,,2
liver disease,,1
lupus erythematosus,1
thyroid disease,,1
plague,1
hepatocellular carcinoma,1
chronic kidney disease,,1
breast cancer.,1
retinopathy,1
common cold.,1
fatty liver disease,1
hypoglycemia,1
purpura,1
cardiovascular disease,1
hemorrhagic disease.,1
acute respiratory distress syndrome,,1
rheumatoid arthritis,,1
acute respiratory distress syndrome.,1
leukemia,1
cystic fibrosis,,1
pulmonary tuberculosis,1
leukopenia,1
ovarian cancer,,1
heart attack,,1
pulmonary edema,1
liver disease,1
substance abuse.,1
myocarditis,1
severe acute respiratory syndrome.,1
viral disease.,1
herpes zoster.,1
anthrax,1
hypersensitivity,1
myotonic dystrophy,1
multiple sclerosis.,1
systemic lupus erythematosus,1
heart disease,1
disseminated intravascular coagulation,1
microcephaly,1
follicular lymphoma,1
meningitis,1
neuromyelitis optica,1
breast cancer,1
thrombotic thrombocytopenic purpura,1
heart disease,,1
autism,1
dengue hemorrhagic fever,1
liver cancer,1
chronic obstructive pulmonary disease,1
