drugs,count
hydroxychloroquine,19
chloroquine,16
ribavirin,8
lopinavir,7
ritonavir,6
azithromycin,6
alemtuzumab,5
teriflunomide,4
tocilizumab,4
fingolimod,4
natalizumab,4
cladribine,3
interferon beta-1b,,3
ivermectin,3
dexamethasone,3
oseltamivir,3
artemisinin,2
interferon beta-1a,2
siltuximab,2
methylprednisolone,2
ganciclovir,2
teicoplanin,1
ascorbic acid,1
eculizumab,1
cobicistat,1
candesartan,1
drospirenone,1
losartan,1
enzalutamide,1
moxifloxacin,1
isotretinoin,1
nitric oxide,1
tigecycline,1
eprosartan,1
tramadol,1
glatiramer acetate,,1
bicalutamide,1
adenosine,1
carboplatin,1
phenol,1
tetracycline,1
ascorbic acid,,1
darunavir,1
melatonin,1
mefloquine,1
