disease,count
influenza,742
chikungunya,189
encephalitis,187
avian influenza,138
hepatitis,130
yellow fever,129
infectious disease,89
pneumonia,69
dengue fever,67
microcephaly,67
malaria,63
cancer,46
measles,45
rash,36
respiratory disease,32
asthma,31
suppression,31
viral disease,30
arthritis,30
meningitis,29
herpes simplex,26
plague,25
yellow fever,,24
conjunctivitis,22
mouth disease,21
dengue fever,,21
encephalomyelitis,20
myocarditis,20
dengue hemorrhagic fever,19
stomatitis,19
rift valley fever,17
rabies,17
rubella,16
tick-borne encephalitis,16
smallpox,15
syphilis,14
gastroenteritis,14
acute respiratory distress syndrome,13
viral hepatitis,13
leukemia,13
diarrhea,13
meningoencephalitis,12
vaccinia virus,12
aseptic meningitis,12
tuberculosis,11
lymphadenopathy,11
bacterial pneumonia,11
respiratory failure,11
myelitis,11
aseptic meningitis,,10
hand, foot and mouth disease,10
myositis,10
obesity,10
thrombocytopenia,10
hemorrhagic fever with renal syndrome,9
chronic obstructive pulmonary disease,9
hand, foot, and mouth disease,8
dengue hemorrhagic fever,,7
pancreatitis,7
dengue hemorrhagic fever.,7
viral pneumonia,7
bronchiolitis,7
anemia,7
infectious disease,,7
dengue fever.,7
breast cancer,7
neuroblastoma,7
encephalopathy,7
poliomyelitis,7
bubonic plague,7
severe acute respiratory syndrome,7
common cold,6
glomerulonephritis,6
keratoconjunctivitis,6
infectious disease.,6
cardiomyopathy,6
stroke,6
sarcoma,6
nephritis,6
respiratory disease,,6
heart disease,6
shortness,6
avian influenza,,5
leukopenia,5
aids,5
pulmonary edema,5
viral disease.,5
mumps,5
acute disseminated encephalomyelitis,5
cystic fibrosis,5
lymphoma,5
rhabdomyosarcoma,5
uveitis,5
yellow fever.,5
bacterial disease,5
purpura,5
hand, foot, and mouth disease,,5
respiratory disease.,5
mouth disease,,5
hemorrhagic disease,5
hypersensitivity,5
pericarditis,5
cirrhosis,5
viral meningitis,4
lung disease,4
gastrointestinal disease,4
acute conjunctivitis,4
rhinitis,4
herpangina,4
acute pancreatitis,,4
lung cancer,4
stuttering,4
hepatocellular carcinoma,4
rheumatoid arthritis,4
bacterial pneumonia.,4
bacterial meningitis,4
bubonic plague,,4
bubonic plague.,4
lymphoblastic leukemia,4
otitis media,,4
cowpox,4
leptospirosis,4
interstitial nephritis,3
western equine encephalitis,3
allergy,3
respiratory failure.,3
pharyngitis,3
cryoglobulinemia,3
typhus,3
vasculitis,3
acute lymphoblastic leukemia,3
venezuelan equine encephalitis,3
molluscum contagiosum,3
optic neuritis,3
proteinuria,3
acute myocarditis,3
aplastic anemia,3
filariasis,3
pyelonephritis,3
schistosomiasis,3
eastern equine encephalitis,3
acute tubular necrosis,3
otitis media,3
acute respiratory distress syndrome,,3
rheumatoid arthritis,,3
acute pancreatitis,3
acute respiratory distress syndrome.,3
pulmonary edema.,3
iridocyclitis,3
liver disease,3
leishmaniasis,3
polyneuropathy,3
autism,3
liver cancer,3
neurodegeneration,2
hepatocellular carcinoma.,2
retinitis,2
eosinophilia,2
bronchopneumonia,2
ovarian cancer,2
myeloid leukemia,2
bacterial meningitis.,2
vaccinia virus.,2
osteoarthritis,2
vaccinia virus,,2
multiple sclerosis,2
infertility,2
bacterial conjunctivitis,2
hemorrhagic fever with renal syndrome;,2
avian influenza.,2
hydranencephaly,2
rheumatic fever,2
hemorrhagic fever with renal syndrome,,2
monkeypox,2
hemorrhagic fever with renal syndrome.,2
acute myocarditis,,2
acute myocarditis.,2
acute conjunctivitis.,2
heart disease,,2
mycosis,2
arthropathy,2
nephropathy,2
urinary tract infection,2
acute myocardial infarction,2
liver disease,,2
nephrotic syndrome,2
nervous system disease,2
scarlet fever,,2
psoriasis,2
saint louis encephalitis,2
severe acute respiratory syndrome;,2
cardiovascular disease,2
melioidosis,2
rheumatoid arthritis.,2
viral hepatitis,,2
brucellosis,2
pulmonary edema,,2
nephropathia epidemica;,2
narcolepsy,2
typhoid fever,2
nephropathia epidemica,2
pulmonary tuberculosis,2
multiple myeloma,2
lung disease.,2
acute pyelonephritis,2
central nervous system disease,2
exanthem,2
lung disease,,2
dermatitis,2
acute myeloid leukemia,2
myopathy,2
tick-borne encephalitis,,2
chronic obstructive pulmonary disease.,2
lupus erythematosus,1
hemophagocytic lymphohistiocytosis,1
pertussis,1
polyclonal hypergammaglobulinemia.,1
hepatocellular carcinoma,,1
toxoplasmosis,1
pure red cell aplasia.,1
fifth disease,1
pulmonary fibrosis.,1
atherosclerosis,1
glomerulosclerosis,1
peritonitis,1
cerebral malaria,,1
latent syphilis,1
dementia,1
pulmonary fibrosis,,1
common cold.,1
common cold,,1
bacterial meningitis,,1
myasthenia gravis,1
hand, foot and mouth disease.,1
hemolytic anemia,,1
placental insufficiency,1
mesothelioma,1
liver cancer,,1
inclusion body myositis,,1
cervical cancer,,1
cataract,1
myeloid leukemia,,1
allergic asthma,1
enamel hypoplasia,1
myelodysplastic syndrome,1
tendinitis,1
multiple myeloma,,1
viral pneumonia.,1
acute pyelonephritis.,1
west nile encephalitis,1
neurological disorder,1
oophoritis,1
viral disease,,1
lymphocytopenia,1
anthrax,1
louping ill,1
zika fever,1
chronic inflammatory demyelinating polyneuropathy,1
dengue fever;,1
acute myeloid leukemia,,1
bronchiectasis,1
tenosynovitis,1
endocarditis,1
paratyphoid fever,1
dengue fever?,1
acute conjunctivitis,,1
irritable bowel syndrome,1
heart disease.,1
cercarial dermatitis,,1
viral meningitis.,1
interstitial nephritis,,1
acute leukemia,1
pancreatic disease,1
skin cancer,1
juvenile idiopathic arthritis.,1
aplastic anemia,,1
tetanus,1
acute pancreatitis.,1
congestive heart failure.,1
cardiovascular disease,,1
congestive heart failure,,1
lymphoid leukemia,,1
breast cancer.,1
retinopathy,1
rheumatic fever.,1
endometrial cancer,1
sinusitis,1
rheumatic fever,,1
neoplasm,1
fifth disease.,1
fifth disease,,1
lymphocytic choriomeningitis,1
gonorrhea,1
kidney failure,1
lichen planus,1
systemic lupus erythematosus.,1
exanthema subitum,1
nephrotic syndrome.,1
nephrotic syndrome,,1
tracheitis,1
bacterial pneumonia,,1
acute disseminated encephalomyelitis,,1
rift valley fever.,1
acute tubular necrosis,,1
subacute sclerosing panencephalitis,1
viral hepatitis.,1
visceral leishmaniasis,1
pure red cell aplasia,1
hemolytic anemia,1
glossitis,1
exanthema subitum,,1
scarlet fever,1
cystic fibrosis,,1
otitis media.,1
pneumonic plague,1
congestive heart failure,1
lupus erythematosus.,1
autoimmune disease,,1
kidney failure,,1
severe acute respiratory syndrome.,1
substance abuse,,1
severe combined immunodeficiency,1
focal segmental glomerulosclerosis,1
herpes zoster,,1
neuropathy,1
mouth disease.,1
cardiac arrest,1
cheilitis,1
hyperglycemia,1
pancreatic cancer,1
