disease,count
infection,749
viral,636
disease,496
infections,362
total,281
Viral,257
lower,251
respiratory,239
Disease,236
virus infection,232
acute,230
Infectious,223
infectious,217
limited,195
primary,178
absence of,164
Infection,159
secondary,152
hepatitis,150
Diseases,145
African,136
complete,133
adult,131
chikungunya,118
Total,113
syndrome,112
Dengue,107
chronic,104
American,102
Central,102
bacterial,99
female,94
acquired,87
short,86
encephalitis,78
Blood,77
Respiratory,75
virus infection.,74
avian influenza,72
epithelial,70
viral infection,69
Hepatitis,68
pneumonia,68
stable,67
infectious diseases,66
symptomatic,65
General,65
systemic,64
partial,62
immunodeficiency,62
cancer,59
Infections,59
Protein,59
Fever,57
type I,56
upper,56
susceptibility to,55
infectious disease,51
Fisher,49
Acute,49
peripheral,48
Severe,47
dengue fever,42
malaria,40
yellow fever,40
Multiple,38
Female,38
tumor,37
Brazilian,37
Epidemic,37
Avian,36
localized,36
horizontal,36
type 1,35
pulmonary,35
infectious diseases.,35
posterior,35
Mouse,34
muscle,34
neonatal,34
virus infection,,33
Antibody,33
CHIKV infection,32
Chronic,32
microcephaly,31
transient,30
Syndrome,29
Japanese encephalitis,29
Rift Valley fever,29
Primary,29
herpes,29
incomplete,28
Cancer,28
chronic hepatitis,28
deficiency,28
type 2,27
congenital,27
recurrent,27
Local,27
diarrhea,27
HIV infection,26
visual,25
Secondary,25
external,24
tuberculosis,24
focal,24
heart,23
viral hepatitis,23
viral infection.,22
infective,22
carcinoma,21
Resistance,21
intermediate,21
type A,20
Increased,20
consumption,20
gastroenteritis,19
Systemic,19
Kidney,19
Pediatric,19
childhood,19
type III,19
arthritis,19
vaccinia,17
Hemorrhagic,17
Adult,17
type II,17
central nervous system,17
liver disease,17
Joint,17
Essential,17
acute hepatitis,17
rabies,16
of liver,16
HIV/AIDS,16
bacterial infections,16
vascular,16
type B,15
bacterial infection,15
Russian,15
atypical,15
Encephalitis,15
chest,15
autoimmune,15
Advanced,15
CHIKV infection.,15
measles,15
Pneumonia,15
periodic,15
morphology,14
swine influenza,14
nerve,14
stomatitis,14
zoster,14
Mediterranean,14
Malaria,14
COVID,14
smallpox,13
Microcephaly,13
Venezuelan equine encephalitis,13
Acinetobacter,13
mucosa,13
thrombocytopenia,13
cytosolic,13
Heart,13
meningitis,13
Complex,13
Geographic,12
clonal,12
Inflammatory,12
melanoma,12
infectious diseases,,12
cirrhosis,12
malformations,12
metastatic,12
acute respiratory distress syndrome,11
Limited,11
Pulmonary,11
cardiovascular disease,11
syphilis,11
varicella,11
Generalized,11
