enfermedad,count
e,168
pneumonia,52
dengue,25
diabetes,21
enfermedad pulmonar,19
cancer,19
tuberculosis,15
enfermedades infecciosas,14
hepatitis,14
linfopenia,13
sepsis,13
insuficiencia respiratoria,12
chikungunya,12
encefalitis,11
diarrea,11
bronquiolitis,9
enfermedad infecciosa,7
diabetes mellitus,7
insuficiencia renal,7
microcefalia,6
diverticulitis,5
enfermedad cardiovascular,5
ictus,5
asma,5
hipoxia,5
malaria,5
enfermedades infecciosas,,5
meningitis,5
dislipemia,4
vasculitis,4
viruela,4
carcinoma,4
leucopenia,4
litiasis,4
arritmia,3
estenosis,3
miocarditis,3
exantema,3
polio,3
enfermedad de Parkinson,3
apendicitis,3
cirrosis,3
displasia broncopulmonar,3
enfermedad infecciosa.,3
leucocitosis,3
Enfermedad renal,2
insuficiencia respiratoria.,2
displasia broncopulmonar,,2
obesidad,2
broncoespasmo,2
Apendicitis aguda,2
peritonitis,2
enfermedad cerebrovascular,2
neurastenia,2
pancreatitis,2
hepatocarcinoma,2
conjuntivitis,2
peste,2
enfermedades cardiovasculares,2
enfermedad de Alzheimer,,2
sida,2
neumoperitoneo,2
adenocarcinoma,2
diabetes mellitus;,2
enfermedad inflamatoria intestinal,2
diabetes mellitus,,2
Colecistitis,2
insomnio,2
trombosis,2
linfoma,2
aspergilosis,2
enfermedades infecciosas.,2
anemia,2
enfermedad transmisible,2
cor pulmonale,2
artritis,2
parotiditis,2
tabaquismo,2
Alzheimer,2
trombocitopenia,2
enfermedad cardiovascular,,2
colitis ulcerosa,2
rinitis,2
poliomielitis,2
enfermedad infecciosa,,2
tos ferina,,2
varices,2
hemorragia cerebral,2
maligno,1
tripanosomiasis,1
enfermedad de Alzheimer,1
insuficiencia respiratoria;,1
neoplasia maligna,1
cefalea tensional,,1
pertussis,1
otorrea,1
aspergiloma,1
toxoplasmosis,1
displasia,1
acalasia,1
COVID-19 en el embarazo,1
amiloidosis,1
insuficiencia respiratoria,,1
catarro,1
difteria,1
insuficiencia renal,,1
Neutropenia,1
infarto,1
miositis,1
meningoencefalitis,1
coriocarcinoma,1
enfermedad ocular,1
agranulocitosis,1
prolapso,1
atelectasia,1
absceso pulmonar,,1
insuficiencia renal aguda,1
enfermedades cardiovasculares,,1
incontinencia urinaria,,1
asfixia neonatal,1
enfisema pulmonar,1
gota,1
embolia pulmonar,,1
enfermedad transmisible,,1
demencia,1
status epilepticus,1
esterilidad,1
insuficiencia renal aguda;,1
parkinsonismo,1
enfermedad de Parkinson,,1
accidente cerebrovascular,1
sarcoma,1
colitis,1
tos ferina,1
paraplejia,1
otitis media,,1
granuloma,1
trastornos de la ansiedad,1
eritema multiforme,1
neuritis,1
colitis ulcerosa.,1
trastorno bipolar,1
familiar.,1
trastorno mental,1
Cardiomegalia,1
enfermedades infecciosas?,1
estado de ansiedad.,1
enfermedad de Huntington,1
leptospirosis,1
enfermedad autoinmune,1
enfermedad de Crohn,1
lupus,1
Bronquiolitis aguda.,1
dermatitis,1
diabetes insulinodependiente,1
edema pulmonar,,1
enfermedad desmielinizante,1
enfermedad cardiovascular.,1
incontinencia urinaria,1
enfermedad cardiovascular;,1
abuso de alcohol,,1
fallo respiratorio,1
fiebre tifoidea,1
enfermedad cardiaca,,1
infarto agudo de miocardio,1
epilepsia,1
tos ferina.,1
urticaria,1
abdomen agudo,1
enfermedad desmielinizante.,1
