npi,count
quarantine,194
social distancing,153
infection control,108
personal protective equipment,89
social distancing,,75
telemedicine,52
herd immunity,36
face mask,29
respirator,28
telehealth,25
social distancing.,23
personal protective equipment,,19
surgical mask,16
personal protective equipment.,15
flatten the curve,15
hand washing,,14
hand washing,14
personal hygiene,13
infection control.,12
personal hygiene,,12
non-pharmaceutical interventions,11
alternative medicine,10
face shield,9
herd immunity,,7
herd immunity.,6
face mask,,6
surgical mask,,5
infection control,,4
respiratory hygiene,,4
respiratory hygiene,3
hand washing.,3
school closure,3
mass gathering,3
flatten the curve.,2
pandemic management,2
social distancing;,2
curfew,2
face mask.,2
personal hygiene;,2
respiratory hygiene.,2
medical isolation,2
non-pharmaceutical interventions,,2
personal hygiene.,2
face shield,,2
school closure,,1
personal protective equipment;,1
medical protective equipment,1
surface cleaning,1
social distancing?,1
stay-at-home order,1
alternative medicine,,1
elastomeric respirator;,1
stay-at-home order,,1
hand washing;,1
face shield.,1
school closure;,1
surgical mask;,1
