zoonosis,count
coronavirus disease 2019,624
Ebola,503
Middle East respiratory syndrome,490
SARS-CoV-2 infection,438
Influenza,376
Covid-19,294
SARS-CoV-2 infection.,172
Coronavirus disease 2019,140
Severe acute respiratory syndrome,131
2019 novel coronavirus pneumonia,112
SARS-CoV-2 infection,,110
Dengue,84
influenza infection,83
SARS-CoV infection,80
human influenza,58
COVID 19,52
COVID19,49
MERS coronavirus,44
Japanese encephalitis,39
coronavirus disease 2019.,37
SARS-CoV infection,,29
influenza infection.,28
swine flu,25
coronavirus disease 2019;,24
influenza infection,,19
COVID-2019,19
SARS-CoV infection.,18
Lassa fever,18
Rift Valley fever,14
Middle East respiratory syndrome.,13
Smallpox,12
Middle East respiratory syndrome;,11
H1N1 Influenza,10
coronavirus disease 2019,,10
swine flu,,9
COVID 19,,9
Rabies,8
COVID 19.,8
Japanese Encephalitis,7
Japanese encephalitis,,6
Dengue fever,6
Ebola hemorrhagic fever,6
Middle East respiratory syndrome,,6
SARS-CoV-2 infection;,6
2019-nCoV acute respiratory disease.,6
seafood market pneumonia,5
MERS coronavirus.,5
Lassa fever,,5
Monkeypox,4
Nipah virus infection,4
bird flu,,4
avian flu,4
bird flu,4
variola,4
Dengue Fever,3
MERS-Cov,3
Dengue fever,,3
Bird flu,3
avian flu,,3
Coronavirus disease 2019,,3
Contagious,3
Rift Valley fever.,2
Rift Valley fever,,2
Japanese encephalitis.,2
California encephalitis,2
Ebola hemorrhagic fever,,2
SARS-CoV-2 infection?,2
Zika fever,,2
Coronavirus disease 2019;,2
MERS coronavirus,,2
dengue disease,2
Lassa fever.,2
Severe acute respiratory syndrome;,2
Marburg disease,1
hydrophobia,1
Marburg hemorrhagic fever,,1
West Nile fever,,1
swine flu.,1
Marburg virus disease.,1
Zika virus disease,1
Nipah virus infection,,1
influenza infection;,1
avian flu.,1
pig flu,,1
human influenza,,1
Camel Flu,1
California Encephalitis,1
Wuhan pneumonia,1
Congo hemorrhagic fever,1
H1N1 Influenza,,1
dengue disease.,1
Wuhan pneumonia,,1
Ross River Virus Disease,1
hog flu,,1
