sars_covid_2,count
transmission,98
MERS-CoV,79
Middle East respiratory syndrome,59
pandemic,56
SARS,42
genomic,37
membrane,36
immune response,20
transmissibility,17
Centers for Disease Control and Prevention,15
nucleic acids,14
virions,14
coronaviruses,13
Wuhan,12
Centers for Disease Control and Prevention,,10
incubation period,10
pathogenicity,9
SARS-CoV,7
immune response,,7
contagious,6
case fatality rate,6
immune response.,6
NL63,6
cell entry,5
virulence factors,5
viral envelope,4
nucleocapsid,4
incubation period,,4
virion,4
cell entry.,4
viral envelope.,3
viral species,3
reassortment,3
Middle East respiratory syndrome.,3
Nidovirales,3
basic reproduction number,3
Betacoronavirus,2
angiotensin converting enzyme 2,2
TMPRSS2,2
cell entry,,2
Severe acute respiratory syndrome-related coronavirus,2
Middle East respiratory syndrome?,1
respiratory droplets,1
Centers for Disease Control and Prevention;,1
Guangzhou,1
Coronaviridae,1
HKU1,1
Middle East respiratory syndrome,,1
coronavirus disease 2019,1
horseshoe bats,1
basic reproduction number,,1
case fatality rate,,1
Chinese Center for Disease Control and Prevention,1
nucleic acids.,1
nucleic acids,,1
traditional Chinese medicine,1
Hubei province,1
Severe acute respiratory syndrome coronavirus,1
229E,1
coronavirus disease 2019;,1
