"RowIDs","ColumnNames","ColumnValues","Term1","Term2","Sentence cooccurrence","Neighbor count","Title cooccurrence","Term1 as String","Term2 as String","Document"
"Row0","POS","NNP","NHF[ORGANIZATION(NE) NNP(POS) CM(OSCAR)]","oxygen[NN(POS) CM(OSCAR)]",2,2,0,"NHF","oxygen","HEMODYNAMIC STATUS IN AIRWAY MANAGEMENT DURING GENERAL ANESTHESIA: COMPARISON OF THREE METHODS"
"Row0","NE","ORGANIZATION","NHF[ORGANIZATION(NE) NNP(POS) CM(OSCAR)]","oxygen[NN(POS) CM(OSCAR)]",2,2,0,"NHF","oxygen","HEMODYNAMIC STATUS IN AIRWAY MANAGEMENT DURING GENERAL ANESTHESIA: COMPARISON OF THREE METHODS"
"Row0","OSCAR","CM","NHF[ORGANIZATION(NE) NNP(POS) CM(OSCAR)]","oxygen[NN(POS) CM(OSCAR)]",2,2,0,"NHF","oxygen","HEMODYNAMIC STATUS IN AIRWAY MANAGEMENT DURING GENERAL ANESTHESIA: COMPARISON OF THREE METHODS"
"Row0","POS (#1)","NN","NHF[ORGANIZATION(NE) NNP(POS) CM(OSCAR)]","oxygen[NN(POS) CM(OSCAR)]",2,2,0,"NHF","oxygen","HEMODYNAMIC STATUS IN AIRWAY MANAGEMENT DURING GENERAL ANESTHESIA: COMPARISON OF THREE METHODS"
"Row0","OSCAR (#1)","CM","NHF[ORGANIZATION(NE) NNP(POS) CM(OSCAR)]","oxygen[NN(POS) CM(OSCAR)]",2,2,0,"NHF","oxygen","HEMODYNAMIC STATUS IN AIRWAY MANAGEMENT DURING GENERAL ANESTHESIA: COMPARISON OF THREE METHODS"
"Row1","POS","NNP","O[NNP(POS) CM(OSCAR)]","oxygen[NN(POS) CM(OSCAR)]",1,1,0,"O","oxygen","HEMODYNAMIC STATUS IN AIRWAY MANAGEMENT DURING GENERAL ANESTHESIA: COMPARISON OF THREE METHODS"
"Row1","OSCAR","CM","O[NNP(POS) CM(OSCAR)]","oxygen[NN(POS) CM(OSCAR)]",1,1,0,"O","oxygen","HEMODYNAMIC STATUS IN AIRWAY MANAGEMENT DURING GENERAL ANESTHESIA: COMPARISON OF THREE METHODS"
"Row1","POS (#1)","NN","O[NNP(POS) CM(OSCAR)]","oxygen[NN(POS) CM(OSCAR)]",1,1,0,"O","oxygen","HEMODYNAMIC STATUS IN AIRWAY MANAGEMENT DURING GENERAL ANESTHESIA: COMPARISON OF THREE METHODS"
"Row1","OSCAR (#1)","CM","O[NNP(POS) CM(OSCAR)]","oxygen[NN(POS) CM(OSCAR)]",1,1,0,"O","oxygen","HEMODYNAMIC STATUS IN AIRWAY MANAGEMENT DURING GENERAL ANESTHESIA: COMPARISON OF THREE METHODS"
"Row2","POS","NNP","NHF[ORGANIZATION(NE) NNP(POS) CM(OSCAR)]","O[NNP(POS) CM(OSCAR)]",1,1,0,"NHF","O","HEMODYNAMIC STATUS IN AIRWAY MANAGEMENT DURING GENERAL ANESTHESIA: COMPARISON OF THREE METHODS"
"Row2","NE","ORGANIZATION","NHF[ORGANIZATION(NE) NNP(POS) CM(OSCAR)]","O[NNP(POS) CM(OSCAR)]",1,1,0,"NHF","O","HEMODYNAMIC STATUS IN AIRWAY MANAGEMENT DURING GENERAL ANESTHESIA: COMPARISON OF THREE METHODS"
"Row2","OSCAR","CM","NHF[ORGANIZATION(NE) NNP(POS) CM(OSCAR)]","O[NNP(POS) CM(OSCAR)]",1,1,0,"NHF","O","HEMODYNAMIC STATUS IN AIRWAY MANAGEMENT DURING GENERAL ANESTHESIA: COMPARISON OF THREE METHODS"
"Row2","POS (#1)","NNP","NHF[ORGANIZATION(NE) NNP(POS) CM(OSCAR)]","O[NNP(POS) CM(OSCAR)]",1,1,0,"NHF","O","HEMODYNAMIC STATUS IN AIRWAY MANAGEMENT DURING GENERAL ANESTHESIA: COMPARISON OF THREE METHODS"
"Row2","OSCAR (#1)","CM","NHF[ORGANIZATION(NE) NNP(POS) CM(OSCAR)]","O[NNP(POS) CM(OSCAR)]",1,1,0,"NHF","O","HEMODYNAMIC STATUS IN AIRWAY MANAGEMENT DURING GENERAL ANESTHESIA: COMPARISON OF THREE METHODS"
"Row3","POS","DT","all[DT(POS) ONT(OSCAR)]","oxygen[NN(POS) CM(OSCAR)]",1,1,0,"all","oxygen","HEMODYNAMIC STATUS IN AIRWAY MANAGEMENT DURING GENERAL ANESTHESIA: COMPARISON OF THREE METHODS"
"Row3","OSCAR","ONT","all[DT(POS) ONT(OSCAR)]","oxygen[NN(POS) CM(OSCAR)]",1,1,0,"all","oxygen","HEMODYNAMIC STATUS IN AIRWAY MANAGEMENT DURING GENERAL ANESTHESIA: COMPARISON OF THREE METHODS"
"Row3","POS (#1)","NN","all[DT(POS) ONT(OSCAR)]","oxygen[NN(POS) CM(OSCAR)]",1,1,0,"all","oxygen","HEMODYNAMIC STATUS IN AIRWAY MANAGEMENT DURING GENERAL ANESTHESIA: COMPARISON OF THREE METHODS"
"Row3","OSCAR (#1)","CM","all[DT(POS) ONT(OSCAR)]","oxygen[NN(POS) CM(OSCAR)]",1,1,0,"all","oxygen","HEMODYNAMIC STATUS IN AIRWAY MANAGEMENT DURING GENERAL ANESTHESIA: COMPARISON OF THREE METHODS"
"Row4","POS","CD","H2O[PROTEIN(ABNER) CD(POS) CM(OSCAR)]","OM[NN(POS) CM(OSCAR)]",1,1,0,"H2O","OM","HEMODYNAMIC STATUS IN AIRWAY MANAGEMENT DURING GENERAL ANESTHESIA: COMPARISON OF THREE METHODS"
"Row4","ABNER","PROTEIN","H2O[PROTEIN(ABNER) CD(POS) CM(OSCAR)]","OM[NN(POS) CM(OSCAR)]",1,1,0,"H2O","OM","HEMODYNAMIC STATUS IN AIRWAY MANAGEMENT DURING GENERAL ANESTHESIA: COMPARISON OF THREE METHODS"
"Row4","OSCAR","CM","H2O[PROTEIN(ABNER) CD(POS) CM(OSCAR)]","OM[NN(POS) CM(OSCAR)]",1,1,0,"H2O","OM","HEMODYNAMIC STATUS IN AIRWAY MANAGEMENT DURING GENERAL ANESTHESIA: COMPARISON OF THREE METHODS"
