"RowIDs","ColumnNames","ColumnValues","Term1","Term2","Sentence cooccurrence","Neighbor count","Title cooccurrence","Term1 as String","Term2 as String","Document"
"Row1838","OSCAR","CM","(CSF).Case[CM(OSCAR)]","SLE[CM(OSCAR)]",1,0,0,"(CSF).Case","SLE","Systematic review of drug effects in humans and models with surfactant-processing disease"
"Row1838","OSCAR (#1)","CM","(CSF).Case[CM(OSCAR)]","SLE[CM(OSCAR)]",1,0,0,"(CSF).Case","SLE","Systematic review of drug effects in humans and models with surfactant-processing disease"
"Row1837","OSCAR","CM","(CSF).Case[CM(OSCAR)]","role[ONT(OSCAR)]",1,1,0,"(CSF).Case","role","Systematic review of drug effects in humans and models with surfactant-processing disease"
"Row1837","OSCAR (#1)","ONT","(CSF).Case[CM(OSCAR)]","role[ONT(OSCAR)]",1,1,0,"(CSF).Case","role","Systematic review of drug effects in humans and models with surfactant-processing disease"
"Row1208","OSCAR","CM","(DW)-MRI[CM(OSCAR)]","Diffusion[ONT(OSCAR)]",1,1,0,"(DW)-MRI","Diffusion","Panenteritis as an Initial Presentation of Systemic Lupus Erythematosus"
"Row1208","OSCAR (#1)","ONT","(DW)-MRI[CM(OSCAR)]","Diffusion[ONT(OSCAR)]",1,1,0,"(DW)-MRI","Diffusion","Panenteritis as an Initial Presentation of Systemic Lupus Erythematosus"
"Row1210","OSCAR","CM","(DW)-MRI[CM(OSCAR)]","lipids[CM(OSCAR)]",1,0,0,"(DW)-MRI","lipids","Panenteritis as an Initial Presentation of Systemic Lupus Erythematosus"
"Row1210","OSCAR (#1)","CM","(DW)-MRI[CM(OSCAR)]","lipids[CM(OSCAR)]",1,0,0,"(DW)-MRI","lipids","Panenteritis as an Initial Presentation of Systemic Lupus Erythematosus"
"Row2627","OSCAR","CM","(IFN)-?[CM(OSCAR)]","(MIP)1-?[CM(OSCAR)]",1,0,0,"(IFN)-?","(MIP)1-?","Low-Dose Aspirin as Primary Prophylaxis for Cardiovascular Events in Rheumatoid Arthritis: An Italian Multicentre Retrospective Study"
"Row2627","OSCAR (#1)","CM","(IFN)-?[CM(OSCAR)]","(MIP)1-?[CM(OSCAR)]",1,0,0,"(IFN)-?","(MIP)1-?","Low-Dose Aspirin as Primary Prophylaxis for Cardiovascular Events in Rheumatoid Arthritis: An Italian Multicentre Retrospective Study"
"Row2603","OSCAR","CM","(IFN)-?[CM(OSCAR)]","(TNF)-?[CM(OSCAR)]",1,1,0,"(IFN)-?","(TNF)-?","Systemic Lupus Erythematosus With Isolated Psychiatric Symptoms and Antinuclear Antibody Detection in the Cerebrospinal Fluid"
"Row2603","OSCAR (#1)","CM","(IFN)-?[CM(OSCAR)]","(TNF)-?[CM(OSCAR)]",1,1,0,"(IFN)-?","(TNF)-?","Systemic Lupus Erythematosus With Isolated Psychiatric Symptoms and Antinuclear Antibody Detection in the Cerebrospinal Fluid"
"Row2625","OSCAR","CM","(IFN)-?[CM(OSCAR)]","IFN-?[CM(OSCAR)]",1,0,0,"(IFN)-?","IFN-?","Low-Dose Aspirin as Primary Prophylaxis for Cardiovascular Events in Rheumatoid Arthritis: An Italian Multicentre Retrospective Study"
"Row2625","OSCAR (#1)","CM","(IFN)-?[CM(OSCAR)]","IFN-?[CM(OSCAR)]",1,0,0,"(IFN)-?","IFN-?","Low-Dose Aspirin as Primary Prophylaxis for Cardiovascular Events in Rheumatoid Arthritis: An Italian Multicentre Retrospective Study"
"Row2628","OSCAR","CM","(IFN)-?[CM(OSCAR)]","MIP1-?[CM(OSCAR)]",1,0,0,"(IFN)-?","MIP1-?","Clinical significance of lipid profile in systemic lupus erythematosus patients: Relation to disease activity and therapeutic"
"Row2628","OSCAR (#1)","CM","(IFN)-?[CM(OSCAR)]","MIP1-?[CM(OSCAR)]",1,0,0,"(IFN)-?","MIP1-?","Clinical significance of lipid profile in systemic lupus erythematosus patients: Relation to disease activity and therapeutic"
"Row2630","OSCAR","CM","(IFN)-?[CM(OSCAR)]","NK[CM(OSCAR)]",1,0,0,"(IFN)-?","NK","Clinical significance of lipid profile in systemic lupus erythematosus patients: Relation to disease activity and therapeutic"
"Row2630","OSCAR (#1)","CM","(IFN)-?[CM(OSCAR)]","NK[CM(OSCAR)]",1,0,0,"(IFN)-?","NK","Clinical significance of lipid profile in systemic lupus erythematosus patients: Relation to disease activity and therapeutic"
"Row2610","OSCAR","CM","(IFN)-?[CM(OSCAR)]","RNA-IC[PROTEIN(ABNER)]",1,0,0,"(IFN)-?","RNA-IC","Systemic Lupus Erythematosus With Isolated Psychiatric Symptoms and Antinuclear Antibody Detection in the Cerebrospinal Fluid"
